constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Carlow-Kilkenny,,,,,,,,5,,,,,
Cavan-Monaghan,,,,,,,,5,,,,,
Clare,,,,,,,,4,,,,,
Cork East,,,,,,,,4,,,,,
Cork North-Central,,,,,,,,4,,,,,
Cork North-West,,,,,,,,3,,,,,
Cork South-Central,,,,,,,,5,,,,,
Cork South-West,,,,,,,,3,,,,,
Donegal North-East,,,,,,,,3,,,,,
Donegal South-West,,,,,,,,3,,,,,
Dublin Central,,,,,,,,4,,,,,
Dublin Mid-West,,,,,,,,4,,,,,
Dublin North,,,,,,,,4,,,,,
Dublin North-Central,,,,,,,,3,,,,,
Dublin North-East,,,,,,,,3,,,,,
Dublin North-West,,,,,,,,3,,,,,
Dublin South,,,,,,,,5,,,,,
Dublin South-Central,,,,,,,,5,,,,,
Dublin South-East,,,,,,,,4,,,,,
Dublin South-West,,,,,,,,4,,,,,
Dublin West,,,,,,,,4,,,,,
Dún Laoghaire,,,,,,,,4,,,,,
Galway East,,,,,,,,4,,,,,
Galway West,,,,,,,,5,,,,,
Kerry North-West Limerick,,,,,,,,3,,,,,
Kerry South,,,,,,,,3,,,,,
Kildare North,,,,,,,,4,,,,,
Kildare South,,,,,,,,3,,,,,
Laois-Offaly,,,,,,,,5,,,,,
Limerick,,,,,,,,3,,,,,
Limerick City,,,,,,,,4,,,,,
Longford-Westmeath,,,,,,,,4,,,,,
Louth,,,,,,,,5,,,,,
Mayo,,,,,,,,5,,,,,
Meath East,,,,,,,,3,,,,,
Meath West,,,,,,,,3,,,,,
Roscommon-South Leitirm,,,,,,,,3,,,,,
Sligo-North Leitrim,,,,,,,,3,,,,,
Tipperary North,,,,,,,,3,,,,,
Tipperary South,,,,,,,,3,,,,,
Waterford,,,,,,,,4,,,,,
Wexford,,,,,,,,5,,,,,
Wicklow,,,,,,,,5,,,,,
